day	hour	value
1	0	0
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	9
1	7	1
1	8	1
1	9	0
1	10	19
1	11	50
1	12	39
1	13	29
1	14	47
1	15	40
1	16	71
1	17	117
1	18	188
1	19	134
1	20	83
1	21	5
1	22	7
1	23	3
2	0	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	1
2	8	2
2	9	6
2	10	10
2	11	16
2	12	9
2	13	9
2	14	11
2	15	14
2	16	37
2	17	60
2	18	116
2	19	124
2	20	113
2	21	126
2	22	153
2	23	9
3	0	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	5
3	7	0
3	8	1
3	9	10
3	10	7
3	11	7
3	12	1
3	13	3
3	14	14
3	15	19
3	16	31
3	17	67
3	18	97
3	19	199
3	20	128
3	21	110
3	22	178
3	23	14
4	0	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	9
4	6	0
4	7	1
4	8	2
4	9	3
4	10	11
4	11	12
4	12	5
4	13	6
4	14	14
4	15	13
4	16	22
4	17	46
4	18	65
4	19	171
4	20	109
4	21	135
4	22	140
4	23	24
5	0	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	1
5	8	4
5	9	6
5	10	15
5	11	13
5	12	7
5	13	7
5	14	13
5	15	16
5	16	26
5	17	84
5	18	97
5	19	122
5	20	120
5	21	181
5	22	172
5	23	25
6	0	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	4
6	9	9
6	10	4
6	11	3
6	12	6
6	13	3
6	14	15
6	15	12
6	16	23
6	17	64
6	18	182
6	19	189
6	20	117
6	21	64
6	22	86
6	23	18
7	0	0
7	1	2
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	6
7	10	13
7	11	30
7	12	32
7	13	24
7	14	49
7	15	44
7	16	46
7	17	38
7	18	69
7	19	94
7	20	41
7	21	44
7	22	35
7	23	5
