day	hour	value
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	9
7	8	1
7	9	1
7	10	0
7	11	19
7	12	50
7	13	39
7	14	29
7	15	47
7	16	40
7	17	71
7	18	117
7	19	188
7	20	134
7	21	83
7	22	5
7	23	7
7	24	3
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	1
1	9	2
1	10	6
1	11	10
1	12	16
1	13	9
1	14	9
1	15	11
1	16	14
1	17	37
1	18	60
1	19	116
1	20	124
1	21	113
1	22	126
1	23	153
1	24	9
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	5
2	8	0
2	9	1
2	10	10
2	11	7
2	12	7
2	13	1
2	14	3
2	15	14
2	16	19
2	17	31
2	18	67
2	19	97
2	20	199
2	21	128
2	22	110
2	23	178
2	24	14
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	9
3	7	0
3	8	1
3	9	2
3	10	3
3	11	11
3	12	12
3	13	5
3	14	6
3	15	14
3	16	13
3	17	22
3	18	46
3	19	65
3	20	171
3	21	109
3	22	135
3	23	140
3	24	24
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	1
4	8	1
4	9	4
4	10	6
4	11	15
4	12	13
4	13	7
4	14	7
4	15	13
4	16	16
4	17	26
4	18	84
4	19	97
4	20	122
4	21	120
4	22	181
4	23	172
4	24	25
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	4
5	10	9
5	11	4
5	12	3
5	13	6
5	14	3
5	15	15
5	16	12
5	17	23
5	18	64
5	19	182
5	20	189
5	21	117
5	22	64
5	23	86
5	24	18
6	1	0
6	2	2
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	6
6	11	13
6	12	30
6	13	32
6	14	24
6	15	49
6	16	44
6	17	46
6	18	38
6	19	69
6	20	94
6	21	41
6	22	44
6	23	35
6	24	5
